loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_range_low,revol_util,loan_status
3700,36 months,9.44,118.42,B,10+ years,RENT,77600,Source Verified,debt_consolidation,20.71,1,705,20.3,Fully Paid
3000,36 months,14.87,103.81,D,10+ years,RENT,46200,Source Verified,credit_card,16.98,0,682,66.6,Fully Paid
19800,36 months,11.03,648.51,B,4 years,RENT,56700,Verified,debt_consolidation,9.18,1,728,25.0,Fully Paid
15200,36 months,7.02,469.47,A,10+ years,RENT,82100,Not Verified,debt_consolidation,8.95,0,749,47.8,Fully Paid
7600,36 months,11.93,252.17,B,10+ years,RENT,69000,Source Verified,debt_consolidation,4.87,0,722,23.8,Fully Paid
9400,36 months,15.61,328.67,D,8 years,MORTGAGE,108300,Source Verified,credit_card,12.4,0,681,58.4,Fully Paid
40000,60 months,23.34,1135.45,F,7 years,MORTGAGE,54800,Not Verified,debt_consolidation,24.87,1,648,44.3,Charged Off
7600,36 months,10.95,248.63,B,< 1 year,MORTGAGE,66000,Not Verified,debt_consolidation,24.12,0,720,20.9,Charged Off
17300,60 months,11.47,380.21,B,10+ years,RENT,46600,Not Verified,credit_card,3.15,1,717,43.2,Fully Paid
5200,36 months,17.63,187.03,D,6 years,MORTGAGE,35400,Verified,debt_consolidation,20.29,0,656,35.2,Charged Off
8900,36 months,13.81,303.36,C,1 year,RENT,43700,Source Verified,debt_consolidation,19.89,1,699,87.4,Charged Off
3900,36 months,7.87,121.98,A,5 years,MORTGAGE,27400,Not Verified,debt_consolidation,13.41,0,739,26.6,Fully Paid
17200,36 months,27.74,709.04,F,< 1 year,MORTGAGE,38000,Verified,credit_card,16.28,1,661,72.9,Charged Off
17300,36 months,6.11,527.16,A,7 years,RENT,94900,Verified,debt_consolidation,12.47,0,745,24.1,Fully Paid
7300,60 months,14.76,172.75,C,10+ years,MORTGAGE,117300,Not Verified,credit_card,13.35,0,716,59.7,Fully Paid
12300,60 months,10.4,263.77,B,10+ years,RENT,54900,Not Verified,credit_card,17.53,0,727,33.9,Charged Off
13500,36 months,12.58,452.14,C,10+ years,RENT,47900,Verified,debt_consolidation,9.5,0,670,70.0,Fully Paid
5600,36 months,10.5,182.01,B,8 years,MORTGAGE,33000,Verified,home_improvement,22.63,0,711,82.0,Charged Off
11400,36 months,9.12,363.15,B,10+ years,MORTGAGE,81800,Not Verified,home_improvement,4.5,1,708,14.1,Fully Paid
8400,60 months,10.98,182.55,B,8 years,MORTGAGE,87300,Verified,credit_card,26.62,0,701,51.2,Charged Off
23800,36 months,15.86,835.09,D,5 years,RENT,127500,Not Verified,credit_card,14.62,0,673,55.1,Charged Off
7300,36 months,11.97,242.36,C,10+ years,RENT,91300,Source Verified,small_business,7.51,0,717,69.9,Fully Paid
18900,36 months,11.22,620.73,B,7 years,MORTGAGE,59400,Not Verified,debt_consolidation,17.25,0,708,19.7,Fully Paid
19300,36 months,5.67,584.26,A,2 years,RENT,115600,Verified,credit_card,11.06,1,755,47.6,Charged Off
9000,36 months,11.26,295.76,B,6 years,OWN,28000,Source Verified,debt_consolidation,29.68,0,732,32.7,Fully Paid
7900,36 months,15.47,275.68,C,10+ years,MORTGAGE,53800,Verified,debt_consolidation,4.69,0,680,29.5,Fully Paid
18000,60 months,12.03,400.67,C,10+ years,MORTGAGE,50500,Verified,debt_consolidation,10.98,1,703,63.9,Charged Off
13300,36 months,16.46,470.61,D,6 years,MORTGAGE,31700,Source Verified,debt_consolidation,12.47,0,693,28.6,Charged Off
16800,36 months,19.35,618.8,E,5 years,RENT,62400,Verified,debt_consolidation,10.82,1,678,55.6,Charged Off
14000,36 months,9.69,449.71,B,1 year,MORTGAGE,43900,Not Verified,car,8.5,2,708,51.3,Charged Off
19600,36 months,12.52,655.88,C,10+ years,MORTGAGE,21700,Verified,debt_consolidation,29.84,0,722,61.0,Charged Off
4400,36 months,18.68,160.58,E,< 1 year,OWN,107800,Not Verified,debt_consolidation,15.03,0,661,81.1,Charged Off
8000,36 months,19.61,295.72,D,8 years,RENT,94700,Not Verified,debt_consolidation,20.56,0,669,28.9,Fully Paid
4300,36 months,13.72,146.38,C,2 years,RENT,106900,Source Verified,credit_card,25.14,0,723,48.2,Charged Off
22800,60 months,9.98,484.21,B,5 years,RENT,77400,Verified,debt_consolidation,16.0,0,713,63.7,Charged Off
8600,60 months,16.4,210.97,C,10+ years,MORTGAGE,158500,Source Verified,debt_consolidation,21.24,0,705,7.8,Charged Off
14000,36 months,11.14,459.27,B,1 year,RENT,42400,Not Verified,major_purchase,21.23,0,720,33.7,Fully Paid
7100,36 months,7.44,220.66,A,2 years,MORTGAGE,76700,Verified,debt_consolidation,26.59,0,749,42.4,Charged Off
23600,60 months,13.71,545.59,C,10+ years,RENT,41800,Source Verified,debt_consolidation,15.3,0,716,33.4,Charged Off
33100,36 months,11.74,1095.29,B,< 1 year,RENT,50100,Not Verified,home_improvement,6.69,0,710,18.1,Fully Paid
8200,36 months,20.99,308.89,E,10+ years,MORTGAGE,107300,Source Verified,debt_consolidation,15.51,0,654,53.2,Charged Off
12000,36 months,12.29,400.24,C,10+ years,RENT,28700,Not Verified,credit_card,15.53,0,696,60.0,Charged Off
17600,36 months,11.26,578.37,B,1 year,RENT,32200,Verified,major_purchase,22.58,0,717,63.6,Fully Paid
3600,36 months,10.5,117.01,B,10+ years,RENT,119800,Verified,debt_consolidation,16.29,0,708,66.3,Fully Paid
14200,36 months,5.71,430.13,A,10+ years,MORTGAGE,39700,Verified,medical,22.17,1,738,71.7,Charged Off
13400,36 months,14.67,462.35,D,9 years,RENT,39300,Verified,debt_consolidation,10.95,0,691,76.8,Charged Off
6000,36 months,20.53,224.61,E,10+ years,OWN,67600,Not Verified,debt_consolidation,17.61,1,687,43.2,Charged Off
15800,36 months,21.61,600.23,E,10+ years,OWN,53800,Not Verified,other,22.65,0,667,63.7,Charged Off
12500,36 months,8.99,397.44,B,< 1 year,RENT,41300,Verified,debt_consolidation,20.54,0,722,37.4,Charged Off
6900,36 months,15.37,240.44,D,10+ years,RENT,34700,Source Verified,major_purchase,18.29,0,678,73.5,Fully Paid
7300,36 months,14.2,250.21,C,8 years,MORTGAGE,59600,Not Verified,debt_consolidation,46.5,1,718,56.5,Charged Off
16800,36 months,9.35,536.98,B,10+ years,RENT,91900,Not Verified,debt_consolidation,11.5,0,719,64.9,Charged Off
4200,60 months,10.57,90.42,B,8 years,MORTGAGE,65100,Not Verified,debt_consolidation,15.38,0,721,41.8,Fully Paid
7200,36 months,8.19,226.25,A,10+ years,MORTGAGE,115700,Verified,debt_consolidation,30.28,0,755,84.2,Charged Off
16700,36 months,10.33,541.45,B,< 1 year,MORTGAGE,134200,Not Verified,credit_card,24.6,0,697,16.7,Fully Paid
26300,60 months,11.05,572.48,B,7 years,MORTGAGE,99600,Source Verified,credit_card,12.65,0,695,36.7,Fully Paid
28400,36 months,7.56,884.2,A,10+ years,MORTGAGE,58300,Source Verified,debt_consolidation,26.08,0,760,54.2,Charged Off
22500,60 months,21.44,614.28,E,8 years,MORTGAGE,66100,Verified,small_business,5.26,0,669,52.7,Charged Off
13200,60 months,9.25,275.61,B,3 years,MORTGAGE,57000,Not Verified,debt_consolidation,17.49,0,727,67.6,Fully Paid
7100,36 months,13.6,241.28,B,4 years,MORTGAGE,88200,Source Verified,debt_consolidation,12.16,0,718,66.2,Fully Paid
14000,36 months,20.84,526.3,E,9 years,RENT,85800,Source Verified,car,6.02,0,678,69.2,Charged Off
4300,36 months,11.13,141.04,B,1 year,RENT,30100,Source Verified,credit_card,24.58,0,700,32.7,Charged Off
2900,36 months,14.05,99.19,C,< 1 year,RENT,54200,Not Verified,credit_card,15.27,2,702,49.4,Charged Off
2400,36 months,11.62,79.28,B,3 years,MORTGAGE,71000,Not Verified,debt_consolidation,25.92,0,732,86.7,Charged Off
4900,36 months,13.24,165.67,C,2 years,MORTGAGE,134200,Not Verified,credit_card,34.23,0,686,59.9,Fully Paid
10500,60 months,10.71,226.78,B,10+ years,MORTGAGE,31400,Not Verified,other,13.23,0,725,26.2,Fully Paid
13500,60 months,18.94,349.75,D,4 years,MORTGAGE,62900,Source Verified,small_business,17.91,0,666,84.7,Charged Off
6200,36 months,13.75,211.15,C,10+ years,RENT,90500,Not Verified,major_purchase,20.67,0,691,44.4,Charged Off
22300,60 months,10.56,479.98,B,10+ years,RENT,173900,Verified,debt_consolidation,9.0,0,731,30.0,Fully Paid
23600,60 months,13.58,544.01,C,10+ years,OWN,23700,Not Verified,medical,28.52,0,706,65.5,Charged Off
11500,60 months,16.79,284.51,D,7 years,OWN,47700,Source Verified,debt_consolidation,25.4,0,692,68.3,Charged Off
12600,36 months,18.63,459.51,D,1 year,MORTGAGE,32100,Verified,debt_consolidation,19.87,0,689,44.1,Fully Paid
5600,60 months,6.93,110.7,A,1 year,RENT,71900,Verified,debt_consolidation,12.4,0,737,42.3,Fully Paid
15700,60 months,13.77,363.44,C,10+ years,MORTGAGE,163500,Source Verified,debt_consolidation,19.42,0,680,15.9,Charged Off
11800,36 months,11.41,388.61,C,4 years,MORTGAGE,79800,Verified,major_purchase,12.44,0,737,38.3,Fully Paid
24600,36 months,13.47,834.45,C,10+ years,MORTGAGE,76600,Verified,debt_consolidation,5.39,0,704,14.4,Fully Paid
13300,60 months,12.56,299.63,C,2 years,RENT,96800,Not Verified,small_business,27.12,0,708,38.8,Charged Off
15700,36 months,11.11,514.82,C,3 years,RENT,76100,Verified,credit_card,11.14,0,709,66.3,Charged Off
12900,60 months,13.9,299.49,C,10+ years,MORTGAGE,31200,Verified,credit_card,6.71,0,708,85.7,Fully Paid
5100,36 months,15.2,177.29,D,2 years,RENT,72100,Not Verified,debt_consolidation,12.71,1,682,55.6,Charged Off
7400,36 months,10.92,241.99,B,6 years,MORTGAGE,94400,Not Verified,other,19.43,0,717,50.2,Charged Off
8000,60 months,13.03,182.15,C,3 years,RENT,20000,Source Verified,credit_card,6.79,0,689,76.2,Charged Off
9200,36 months,13.4,311.76,C,4 years,RENT,54700,Verified,debt_consolidation,6.42,0,710,41.8,Fully Paid
7100,36 months,7.59,221.15,A,6 years,RENT,52000,Not Verified,credit_card,37.49,0,768,44.9,Charged Off
10800,36 months,13.76,367.86,C,10+ years,MORTGAGE,77400,Verified,debt_consolidation,25.5,0,701,77.7,Charged Off
12000,36 months,19.02,439.99,E,6 years,RENT,43000,Not Verified,credit_card,14.67,0,655,23.4,Charged Off
21200,60 months,9.3,443.17,B,1 year,RENT,32600,Verified,debt_consolidation,5.4,0,735,17.1,Fully Paid
10400,60 months,6.04,201.25,A,10+ years,RENT,53000,Not Verified,debt_consolidation,11.84,0,738,69.1,Charged Off
5900,36 months,12.72,198.0,C,7 years,OWN,56600,Verified,debt_consolidation,20.06,0,711,77.2,Charged Off
6100,60 months,10.48,131.05,B,10+ years,RENT,59700,Verified,debt_consolidation,21.95,1,717,69.4,Fully Paid
14400,36 months,7.09,445.22,A,9 years,RENT,70600,Verified,debt_consolidation,13.05,1,737,39.3,Fully Paid
13800,36 months,15.83,484.01,D,10+ years,OWN,37600,Verified,debt_consolidation,12.14,0,663,78.2,Charged Off
5200,60 months,13.89,120.7,C,10+ years,RENT,135200,Source Verified,debt_consolidation,6.33,1,679,70.1,Fully Paid
12100,36 months,14.04,413.78,C,10+ years,RENT,85600,Verified,debt_consolidation,17.61,0,705,59.6,Fully Paid
10300,36 months,9.78,331.29,B,6 years,MORTGAGE,57100,Not Verified,credit_card,6.69,1,740,59.0,Fully Paid
15500,36 months,8.82,491.6,B,10+ years,MORTGAGE,67600,Source Verified,major_purchase,29.54,1,713,28.9,Charged Off
18300,36 months,6.92,564.38,A,10+ years,MORTGAGE,36700,Verified,home_improvement,8.31,1,749,58.6,Fully Paid
6200,60 months,22.51,173.04,E,7 years,MORTGAGE,59200,Source Verified,credit_card,21.63,2,670,46.1,Charged Off
4500,36 months,20.08,167.42,E,4 years,MORTGAGE,105500,Verified,car,33.03,0,678,24.6,Charged Off
12700,60 months,12.86,288.05,C,4 years,RENT,162800,Not Verified,debt_consolidation,20.11,0,699,83.4,Charged Off
14100,60 months,10.27,301.46,B,5 years,MORTGAGE,87000,Not Verified,debt_consolidation,22.51,0,712,80.9,Fully Paid
18600,36 months,5.32,560.13,A,10+ years,RENT,38600,Not Verified,debt_consolidation,8.64,1,730,27.1,Fully Paid
11200,60 months,10.44,240.4,C,5 years,MORTGAGE,35500,Verified,debt_consolidation,18.04,0,680,13.8,Fully Paid
18300,36 months,7.59,570.0,A,9 years,MORTGAGE,45700,Not Verified,credit_card,17.62,0,746,33.4,Fully Paid
10800,60 months,11.85,239.42,B,6 years,RENT,46300,Not Verified,debt_consolidation,16.8,0,713,86.6,Charged Off
8300,60 months,14.77,196.46,D,< 1 year,MORTGAGE,47500,Source Verified,home_improvement,12.57,0,684,74.2,Charged Off
20800,36 months,13.18,702.64,C,6 years,RENT,56200,Not Verified,debt_consolidation,27.97,0,701,37.3,Charged Off
3900,36 months,16.28,137.65,D,5 years,RENT,51700,Verified,medical,16.11,0,701,29.5,Charged Off
14700,36 months,9.93,473.84,B,10+ years,MORTGAGE,94800,Source Verified,credit_card,13.83,0,726,81.8,Charged Off
16100,36 months,17.94,581.57,D,2 years,MORTGAGE,66700,Verified,debt_consolidation,3.95,0,684,35.0,Fully Paid
6100,36 months,10.64,198.67,B,2 years,MORTGAGE,86400,Source Verified,debt_consolidation,10.9,0,714,47.2,Fully Paid
9000,60 months,12.04,200.38,B,1 year,MORTGAGE,37200,Verified,debt_consolidation,19.16,1,721,19.2,Charged Off
25700,36 months,15.43,896.32,D,1 year,MORTGAGE,47500,Not Verified,car,19.59,1,687,58.7,Charged Off
6700,36 months,13.26,226.59,C,10+ years,MORTGAGE,114700,Verified,credit_card,11.26,0,684,32.1,Charged Off
8400,36 months,11.14,275.56,B,4 years,RENT,60500,Verified,major_purchase,26.14,0,720,49.7,Charged Off
14200,36 months,17.58,510.38,D,< 1 year,MORTGAGE,70100,Verified,debt_consolidation,17.57,0,682,21.4,Charged Off
26500,60 months,15.04,630.99,C,4 years,MORTGAGE,170200,Not Verified,credit_card,13.11,0,677,49.3,Charged Off
11500,60 months,17.0,285.8,D,6 years,RENT,211000,Source Verified,debt_consolidation,20.56,1,681,58.9,Charged Off
11100,36 months,5.73,336.33,A,10+ years,MORTGAGE,38900,Not Verified,credit_card,7.41,0,767,21.4,Fully Paid
6700,36 months,10.43,217.55,B,4 years,MORTGAGE,45900,Not Verified,car,17.33,2,725,73.4,Fully Paid
6000,36 months,5.46,181.07,A,1 year,RENT,94500,Source Verified,debt_consolidation,6.59,0,735,54.6,Fully Paid
13200,36 months,14.5,454.36,D,10+ years,RENT,32200,Not Verified,credit_card,15.73,0,668,45.5,Charged Off
14600,36 months,9.08,464.82,B,2 years,MORTGAGE,138000,Not Verified,home_improvement,11.49,0,710,85.2,Fully Paid
8300,60 months,7.94,168.06,A,7 years,MORTGAGE,62100,Not Verified,credit_card,13.55,0,762,87.0,Fully Paid
30000,36 months,14.76,1036.44,C,9 years,OWN,94000,Not Verified,home_improvement,6.96,0,714,52.3,Fully Paid
8100,36 months,10.07,261.63,B,10+ years,MORTGAGE,34000,Verified,debt_consolidation,6.61,0,721,72.5,Fully Paid
10600,36 months,10.43,344.18,B,4 years,OWN,103200,Not Verified,debt_consolidation,4.73,0,709,32.6,Fully Paid
7000,36 months,8.05,219.52,A,< 1 year,MORTGAGE,71500,Not Verified,credit_card,18.8,0,738,83.0,Charged Off
27900,36 months,14.83,964.84,C,10+ years,MORTGAGE,63200,Not Verified,credit_card,16.68,0,697,26.0,Fully Paid
8500,36 months,10.47,276.15,B,10+ years,RENT,38700,Source Verified,debt_consolidation,13.8,0,711,60.9,Charged Off
8400,36 months,9.75,270.06,B,9 years,MORTGAGE,55500,Source Verified,small_business,8.94,0,713,23.4,Fully Paid
8000,60 months,9.45,167.82,B,2 years,MORTGAGE,35800,Not Verified,debt_consolidation,42.46,0,699,50.0,Fully Paid
13900,60 months,12.8,314.85,C,10+ years,MORTGAGE,26100,Source Verified,debt_consolidation,23.32,1,693,46.2,Charged Off
5400,60 months,14.71,127.65,D,4 years,MORTGAGE,49900,Not Verified,debt_consolidation,11.74,1,678,53.9,Charged Off
5200,36 months,16.43,183.92,D,< 1 year,MORTGAGE,75400,Verified,debt_consolidation,7.06,0,672,72.0,Charged Off
5000,36 months,7.36,155.21,A,10+ years,MORTGAGE,53800,Verified,credit_card,28.93,1,748,85.9,Fully Paid
18800,60 months,12.19,420.0,C,1 year,RENT,27800,Not Verified,debt_consolidation,27.82,0,690,18.2,Charged Off
